Name,Type,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Habitat,Power,Size,Weight Class,Diet,Evolution Stage,Movement,Combat,Narrative
Bulbasaur,Grass|Poison,5,5,5,7,7,5,"Grasslands, Forest",2,Small,2,Phototroph,1,,Threaded|Underdog,Alluring
Ivysaur,Grass|Poison,6,6,6,8,8,6,"Grasslands, Forest",3,Medium,2,Phototroph,2,,Threaded|Underdog,Alluring
Venusaur,Grass|Poison,8,8,8,10,10,8,"Grasslands, Forest",8,Large,5,"Omnivore, Phototroph",3,,Threaded,Alluring
Chikorita,Grass,5,5,7,5,7,5,"Grasslands, Forest",2,Small,1,Phototroph,1,,Underdog,Alluring
Bayleef,Grass,6,6,8,6,8,6,"Grasslands, Forest",3,Medium,2,Phototroph,2,,Underdog,Alluring
Meganium,Grass,8,8,10,8,10,8,"Grasslands, Forest",4,Large,5,Phototroph,3,,,Alluring
Treecko,Grass,4,5,4,7,6,7,"Grasslands, Forest",2,Small,1,Herbivore,1,Climber|Quick,Underdog,
Grovyle,Grass,5,7,5,9,6,7,"Grasslands, Forest",3,Medium,2,Herbivore,2,Climber|Glider|Quick,Underdog,
Sceptile,Grass,7,9,7,11,9,12,"Grasslands, Forest",5,Medium,4,Herbivore,3,Climber|Quick,,
Turtwig,Grass,6,7,6,5,6,3,"Grasslands, Forest",3,Small,1,"Herbivore, Phototroph",1,,Underdog,
Grotle,Grass,8,9,9,6,7,4,"Grasslands, Forest",4,Medium,4,"Herbivore, Phototroph",2,,Underdog,
Torterra,Grass|Ground,10,11,11,8,9,4,"Grasslands, Forest",7,Large,6,"Herbivore, Phototroph",3,,,Groundshaper
Snivy,Grass,5,5,6,5,6,6,"Grasslands, Forest",2,Small,1,"Herbivore, Phototroph",1,,Underdog,
Servine,Grass,6,6,8,6,8,8,"Grasslands, Forest",3,Small,2,"Herbivore, Phototroph",2,,Underdog,
Serperior,Grass,8,8,10,8,10,11,"Grasslands, Forest",5,Large,4,"Herbivore, Phototroph",3,,,
Chespin,Grass,6,6,7,5,5,4,"Grasslands, Forest",2,Small,1,Herbivore,1,,Underdog,
Quilladin,Grass,6,8,10,6,6,6,"Grasslands, Forest",3,Small,3,Herbivore,2,,Underdog,
Chesnaught,Grass|Fighting,9,11,12,7,8,6,"Grasslands, Forest",7,Medium,4,Herbivore,3,,,
Rowlet,Grass|Flying,7,6,6,5,5,4,"Grasslands, Forest",1,Small,1,Carnivore,1,Flier,Darkvision|Underdog,
Dartrix,Grass|Flying,8,8,8,7,7,5,"Grasslands, Forest",2,Small,2,Carnivore,2,Flier,Darkvision|Underdog,
Decidueye,Grass|Ghost,8,11,8,10,10,9,"Grasslands, Forest",4,Medium,3,Carnivore,3,Flier,Darkvision|Wielder (Ranged),Dead Silent
Hisuian Decidueye,Grass|Fighting,8,11,9,10,8,10,"Grasslands, Mountain",7,Medium,3,Carnivore,3,Flier|Quick,,Aura Reader|Dead Silent
Grookey,Grass,5,7,5,4,4,7,Forest,2,Small,1,Herbivore,1,Climber|Jumper,Underdog,Pack Mon
Thwackey,Grass,7,9,7,6,6,7,Forest,3,Small,2,Herbivore,2,Climber|Jumper,Underdog,Pack Mon
Rillaboom,Grass,10,13,9,6,7,9,Forest,8,Large,4,Herbivore,3,Climber|Jumper,,Pack Mon
Sprigatito,Grass,4,6,5,5,5,7,Grasslands,1,Small,1,Carnivore,1,,Underdog,Alluring
Floragato,Grass,6,8,6,6,6,8,Grasslands,2,Small,2,Carnivore,2,,Reach|Underdog,Alluring
Meowscarada,Grass|Dark,8,11,7,8,7,12,Grasslands,4,Medium,3,Carnivore,3,,,Alluring|Illusionist
Charmander,Fire,4,5,4,6,5,7,Mountain,2,Small,1,Herbivore,1,,Underdog,Glow|Heater
Charmeleon,Fire,6,6,6,8,7,8,Mountain,4,Medium,2,Carnivore,2,,Underdog,Glow|Heater
Charizard,Fire|Flying,8,8,8,11,9,10,Mountain,8,Medium,4,Carnivore,3,Flier,Mountable,Glow|Heater
Cyndaquil,Fire,4,5,4,6,5,7,"Cave, Grasslands",2,Small,1,Herbivore,1,,Underdog,Glow|Heater
Quilava,Fire,6,6,6,8,7,8,"Cave, Grasslands",3,Small,2,Herbivore,2,,Underdog,Glow|Heater
Typhlosion,Fire,8,8,8,11,9,10,"Cave, Grasslands",6,Medium,4,Herbivore,3,,,Glow|Heater
Hisuian Typhlosion,Fire|Ghost,8,8,8,11,10,9,"Cave, Grasslands",6,Medium,4,Herbivore,3,,,Heater|Soul Seer|Tracker
Torchic,Fire,5,6,4,7,5,5,Grasslands,1,Small,1,Herbivore,1,,Underdog,
Combusken,Fire|Fighting,6,9,6,9,6,6,Grasslands,4,Small,2,Herbivore,2,Jumper|Quick,Underdog,
Blaziken,Fire|Fighting,8,12,7,11,7,8,Grasslands,7,Medium,4,Omnivore,3,Jumper|Quick,,
Chimchar,Fire,4,6,4,6,4,6,"Forest, Mountain",2,Small,1,Omnivore,1,Climber|Jumper,Underdog,Glow|Heater
Monferno,Fire|Fighting,6,8,5,8,5,8,"Forest, Mountain",5,Small,2,Omnivore,2,Climber|Jumper,Underdog,Glow|Heater
Infernape,Fire|Fighting,8,10,7,10,7,10,"Forest, Mountain",8,Medium,4,Omnivore,3,Climber|Jumper,,Glow|Heater
Tepig,Fire,7,6,5,5,5,5,Grasslands,2,Small,1,Herbivore,1,,Underdog,Heater|Tracker
Pignite,Fire|Fighting,9,9,6,7,6,6,Grasslands,4,Medium,4,Herbivore,2,,Underdog,Heater|Tracker
Emboar,Fire|Fighting,11,12,7,10,7,7,Grasslands,8,Medium,5,Omnivore,3,,,Heater|Tracker
Fennekin,Fire,4,5,4,6,6,6,Grasslands,2,Small,1,Herbivore,1,,Underdog,Tracker
Braixen,Fire,6,6,6,9,7,7,Grasslands,3,Medium,2,Herbivore,2,,Underdog|Wielder (Arcane),Tracker
Delphox,Fire|Psychic,8,7,7,11,10,10,Grasslands,4,Medium,3,Herbivore,3,,Telekinetic|Wielder (Arcane),Premonition|Tracker
Litten,Fire,5,7,4,6,4,7,"Forest, Urban",2,Small,1,Carnivore,1,Jumper,Underdog,Tracker
